# Date:     2016-10-04 23:35:14
# Database: cvs
# Target:   all_t2cep
# Query:    (type='BLHer' or type='RVTau' or type='WVir' or type='pWVir') 
# Objects:  603
# Columns:
ID	Field	StarID	RA	Decl	Type	I	V	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1
OGLE-LMC-T2CEP-094	LMC103.2	51157	 5:19:53.20	-69:53:09.9	WVir	16.588	17.529	8.4684897	0.0003270	2120.73841	0.157	0.144	0.755	0.045	0.779
OGLE-LMC-T2CEP-095	LMC102.1	509	 5:20:09.84	-68:18:35.3	WVir	17.009	17.873	5.0001218	0.0002297	2121.24028	0.053	0.000	-99.99	0.000	-99.99
OGLE-LMC-T2CEP-096	LMC101.1	53540	 5:20:10.42	-68:48:39.2	WVir	15.918	16.832	13.9257224	0.0001357	2129.22374	0.889	0.237	0.136	0.068	3.229
OGLE-LMC-T2CEP-097	LMC100.3	15603	 5:20:20.58	-69:12:20.9	WVir	16.177	17.064	10.5101666	0.0001392	446.10816	0.233	0.138	1.550	0.043	1.982
OGLE-LMC-T2CEP-098	LMC104.4	55210	 5:20:25.00	-70:11:08.7	pWVir	14.374	14.671	4.9737372	0.0000124	829.46470	0.104	0.166	4.950	0.125	3.009
OGLE-LMC-T2CEP-099	LMC100.4	30495	 5:20:44.48	-69:01:48.4	WVir	15.932	16.999	15.4867877	0.0004773	2111.72112	0.611	0.087	1.979	0.086	2.521
OGLE-LMC-T2CEP-100	LMC104.3	17874	 5:21:14.64	-70:23:15.4	WVir	16.642	17.407	7.4310950	0.0001601	825.70218	0.410	0.148	5.522	0.088	5.322
OGLE-LMC-T2CEP-101	LMC100.3	32462	 5:21:18.87	-69:11:47.3	WVir	16.035	16.838	11.4185596	0.0001447	444.88281	0.606	0.437	4.697	0.071	3.065
OGLE-LMC-T2CEP-102	LMC103.2	26384	 5:21:19.67	-69:56:56.2	BLHer	17.758	18.231	1.2660176	0.0000008	455.07285	0.620	0.285	4.531	0.122	2.922
OGLE-LMC-T2CEP-103	LMC104.4	21411	 5:21:35.27	-70:13:25.7	WVir	16.039	16.995	12.9082775	0.0003099	824.38616	0.435	0.122	1.621	0.078	2.433
OGLE-LMC-T2CEP-104	LMC103.1	27711	 5:21:49.10	-70:04:34.3	RVTau	14.937	15.830	24.8799480	0.0005200	447.75745	0.594	0.380	5.678	0.193	4.293
OGLE-LMC-T2CEP-105	LMC104.4	32947	 5:21:58.32	-70:16:35.1	BLHer	17.645	18.206	1.4892979	0.0000016	830.77386	0.678	0.411	4.233	0.132	0.700
OGLE-LMC-T2CEP-106	LMC100.1	134327	 5:22:02.03	-69:27:25.3	WVir	16.612	17.493	6.7067363	0.0000508	455.58483	0.151	0.123	0.117	0.034	6.228
OGLE-LMC-T2CEP-107	LMC103.4	51505	 5:22:05.79	-69:40:24.5	BLHer	17.684	18.482	1.2091451	0.0000011	455.57377	0.304	0.269	4.347	0.083	3.890
OGLE-LMC-T2CEP-108	LMC102.2	17387	 5:22:11.27	-68:11:31.3	RVTau	14.746	15.477	30.0108429	0.0133386	2113.81336	0.048	0.112	4.302	0.100	2.010
OGLE-LMC-T2CEP-109	LMC103.3	117720	 5:22:12.83	-69:41:50.6	BLHer	19.559	21.212	1.4145528	0.0000056	454.69580	0.347	0.265	4.871	0.091	5.956
OGLE-LMC-T2CEP-110	LMC101.1	33073	 5:22:19.48	-68:53:50.0	WVir	16.763	17.705	7.0784684	0.0001122	2151.91051	0.154	0.148	0.001	0.050	0.664
OGLE-LMC-T2CEP-111	LMC105.3	42490	 5:22:22.30	-70:52:46.8	WVir	16.542	17.440	7.4956838	0.0000871	829.55773	0.147	0.149	0.249	0.035	1.036
OGLE-LMC-T2CEP-112	LMC161.8	67145	 5:22:58.36	-69:26:20.9	RVTau	14.065	14.749	39.3977037	0.0061777	421.63429	0.216	0.285	0.135	0.023	4.894
OGLE-LMC-T2CEP-113	LMC161.8	18847	 5:23:06.33	-69:32:20.5	BLHer	17.137	17.811	3.0854602	0.0000577	455.01003	0.118	0.071	3.768	0.133	4.105
OGLE-LMC-T2CEP-114	LMC159.8	1537	 5:23:29.75	-68:19:07.2	BLHer	18.068	19.020	1.0910886	0.0000045	2167.44939	0.250	0.311	4.304	0.190	2.585
OGLE-LMC-T2CEP-115	LMC161.8	18770	 5:23:43.53	-69:32:06.8	RVTau	15.593	16.651	24.9669126	0.0020446	2145.84889	0.841	0.123	6.003	0.048	5.937
OGLE-LMC-T2CEP-116	LMC161.8	99922	 5:23:55.90	-69:25:30.1	BLHer	17.825	18.658	1.9666793	0.0000024	445.61278	0.383	0.133	5.339	0.119	2.815
OGLE-LMC-T2CEP-117	LMC164.7	11579	 5:24:41.50	-71:06:44.6	WVir	16.640	17.539	6.6293487	0.0001921	2165.52937	0.109	0.119	6.036	0.057	1.642
OGLE-LMC-T2CEP-118	LMC159.2	112	 5:25:15.05	-68:09:11.7	WVir	16.103	17.037	12.6985804	0.0002612	2163.34477	0.774	0.126	0.435	0.100	3.090
OGLE-LMC-T2CEP-119	LMC164.6	43099	 5:25:19.48	-70:54:10.0	RVTau	14.391	15.225	33.8250938	0.0067504	2158.59349	0.675	0.193	5.863	0.091	4.996
OGLE-LMC-T2CEP-120	LMC160.2	120	 5:25:29.55	-68:48:11.8	WVir	17.002	17.880	4.5590530	0.0000301	2165.73588	0.371	0.253	5.740	0.090	5.232
OGLE-LMC-T2CEP-121	LMC163.6	90184	 5:25:42.79	-70:20:46.1	BLHer	17.713	18.430	2.0613655	0.0000043	2166.37479	0.434	0.160	5.548	0.087	3.127
OGLE-LMC-T2CEP-122	LMC160.4	316	 5:25:48.19	-68:29:11.4	BLHer	18.241	19.028	1.5386690	0.0000049	2167.45087	0.413	0.160	5.058	0.194	1.679
OGLE-LMC-T2CEP-123	LMC163.4	1235	 5:26:19.26	-70:15:34.7	BLHer	18.233	18.723	1.0026263	0.0000007	454.80233	0.619	0.328	4.766	0.129	2.814
OGLE-LMC-T2CEP-124	LMC160.1	42038	 5:26:55.80	-68:51:53.9	BLHer	17.889	18.614	1.7348666	0.0000040	2167.63818	0.424	0.206	5.121	0.183	2.108
OGLE-LMC-T2CEP-125	LMC165.1	24098	 5:27:39.18	-71:47:57.0	RVTau	14.934	15.924	33.0335975	0.0043649	2154.20705	0.712	0.213	6.148	0.134	5.548
OGLE-LMC-T2CEP-126	LMC164.4	6903	 5:27:53.42	-70:51:30.9	WVir	16.210	17.436	16.3267785	0.0005225	2167.50661	0.825	0.051	0.591	0.067	3.079
OGLE-LMC-T2CEP-127	LMC161.2	25763	 5:27:59.80	-69:23:27.5	WVir	16.120	17.092	12.6691185	0.0006757	454.17111	0.255	0.097	3.427	0.039	3.951
OGLE-LMC-T2CEP-128	LMC163.4	52111	 5:28:43.81	-70:14:02.3	WVir	15.517	16.460	18.4926938	0.0001881	453.20828	0.753	0.038	4.568	0.058	2.756
OGLE-LMC-T2CEP-129	LMC162.2	136567	 5:28:54.60	-69:52:41.1	RVTau	14.096	14.813	62.5089466	0.0237959	397.72780	0.140	0.088	5.580	0.115	0.458
OGLE-LMC-T2CEP-130	LMC163.1	28980	 5:29:04.24	-70:41:37.9	BLHer	17.527	18.124	1.9446935	0.0000020	2167.58469	0.722	0.397	4.953	0.237	2.737
OGLE-LMC-T2CEP-131	LMC167.6	22649	 5:29:05.17	-68:30:30.9	BLHer	18.190	18.940	1.4134748	0.0000058	2166.86725	0.461	0.210	4.751	0.071	0.019
OGLE-LMC-T2CEP-132	LMC169.7	185	 5:29:08.23	-69:56:04.3	pWVir	15.818	16.548	10.0178287	0.0001435	448.21817	0.152	0.084	4.516	0.013	1.689
OGLE-LMC-T2CEP-133	LMC163.3	42104	 5:29:23.48	-70:24:28.5	WVir	16.671	17.497	6.2819551	0.0001567	2162.68787	0.093	0.102	6.162	0.032	4.705
OGLE-LMC-T2CEP-134	LMC169.6	295	 5:29:28.49	-69:48:00.4	pWVir	16.268	16.851	4.0757258	0.0000095	454.54080	0.540	0.380	5.142	0.198	4.053
OGLE-LMC-T2CEP-135	LMC168.7	61585	 5:29:38.50	-69:15:12.2	RVTau	15.194	16.162	26.5223638	0.0016671	2144.30037	0.904	0.067	0.222	0.040	1.914
OGLE-LMC-T2CEP-136	LMC169.5	84583	 5:29:48.11	-69:35:32.1	BLHer	17.823	18.095	1.3230384	0.0000009	454.37319	0.586	0.244	4.312	0.102	4.913
OGLE-LMC-T2CEP-137	LMC169.5	17594	 5:30:03.55	-69:38:02.8	WVir	16.728	17.633	6.3623499	0.0000518	453.96088	0.114	0.121	6.206	0.045	5.892
OGLE-LMC-T2CEP-138	LMC167.8	51132	 5:30:10.87	-68:49:17.1	BLHer	18.059	18.827	1.3935906	0.0000043	2167.52491	0.452	0.225	4.756	0.072	6.161
OGLE-LMC-T2CEP-139	LMC168.6	64199	 5:30:22.56	-69:09:12.1	WVir	15.968	17.003	14.7804104	0.0004173	2156.19900	0.496	0.093	2.033	0.085	2.734
OGLE-LMC-T2CEP-140	LMC168.7	73740	 5:30:22.71	-69:15:38.6	BLHer	17.760	18.508	1.8411435	0.0000057	2166.65700	0.294	0.080	4.115	0.188	2.386
